user_id,product_id,rating
3,120,4
3,28,4
3,190,1
3,174,3
3,30,3
3,8,4
3,99,1
3,101,5
3,62,1
3,158,5
3,48,1
3,22,3
3,5,4
3,122,1
3,193,4
3,124,2
3,82,1
3,141,1
3,105,3
4,56,4
4,155,4
4,3,1
4,42,5
4,125,2
4,61,3
4,134,4
4,161,1
4,142,2
4,87,1
4,31,3
4,11,5
4,39,2
4,126,5
4,162,4
4,127,4
4,76,3
4,192,1
4,171,3
4,36,4
5,161,3
5,28,1
5,2,5
5,107,5
5,29,2
5,150,5
5,71,3
5,16,4
5,136,4
5,197,2
5,80,5
5,68,1
6,107,1
6,84,4
6,19,4
6,81,2
6,67,3
6,181,5
6,145,2
6,50,4
6,124,4
6,88,2
7,157,3
7,132,2
7,14,2
7,89,1
7,127,1
7,62,3
7,125,2
7,184,1
7,136,4
7,31,1
7,138,3
7,94,5
7,28,1
7,74,3
7,22,3
7,87,1
7,27,5
8,71,5
8,18,1
8,171,4
8,166,4
8,27,5
8,44,3
8,109,5
8,65,4
8,189,3
8,15,3
8,125,3
8,172,3
8,140,2
8,55,3
8,165,4
8,117,5
8,38,3
8,10,3
8,177,4
9,78,5
9,185,2
9,194,3
9,18,1
9,166,5
9,79,5
9,57,5
9,195,3
9,15,3
9,31,4
9,136,1
9,137,3
9,67,1
9,151,3
10,20,1
10,195,3
10,138,1
10,115,5
10,91,3
10,104,2
10,124,4
10,150,2
10,68,4
10,29,5
10,159,2
11,73,5
11,2,2
11,181,3
11,139,5
11,55,1
11,187,2
11,21,5
11,74,5
11,102,4
11,162,4
11,193,4
12,89,1
12,65,4
12,117,1
12,34,1
12,4,3
12,154,1
12,161,4
12,140,1
12,75,2
12,69,2
12,71,5
15,201,1
13,202,3
22,203,1
18,204,3
17,205,4
15,206,1
22,207,5
17,208,5
22,209,1
21,210,1
19,211,3
17,212,5
15,213,4
21,214,1
17,215,1
14,216,3
20,217,2
16,218,1
19,219,5
15,220,2
19,221,1
16,222,4
22,223,3
16,224,5
17,225,5
14,226,2
16,227,1
20,228,2
20,229,3
18,230,1
21,231,3
22,232,2
14,233,1
13,234,5
18,235,1
21,236,1
19,237,1
22,238,4
18,239,3
15,240,5
18,241,3
16,242,1
14,243,1
19,244,2
17,245,3
15,246,4
14,247,5
20,248,3
14,249,1
16,250,4
17,251,1
15,252,1
14,253,4
20,254,2
22,255,5
20,256,5
19,257,5
16,258,3
20,259,4
17,260,2
17,261,5
17,262,5
15,263,4
13,264,5
19,265,2
15,266,4
14,267,3
17,268,1
15,269,5
13,270,1
19,271,2
22,272,4
19,273,3
18,274,3
22,275,5
17,276,2
20,277,2
18,278,2
18,279,4
21,280,1
15,281,2
13,282,4
15,283,1
20,284,1
17,285,2
21,286,5
19,287,4
17,288,5
20,289,4
14,290,4
16,291,4
15,292,2
22,293,3
20,294,5
13,295,1
18,296,4
21,297,2
17,298,1
18,299,4
13,300,1
14,301,4
16,302,5
16,303,4
20,304,3
20,305,4
13,306,3
21,307,5
14,308,2
16,309,4
13,310,5
18,311,2
21,312,1
17,313,3
19,314,4
21,315,5
14,316,5
14,317,4
15,318,5
20,319,5
17,320,1
14,321,2
17,322,3
20,323,3
19,324,5
14,325,1
14,326,3
17,327,3
21,328,1
14,329,4
15,330,2
16,331,3
17,332,4
22,333,5
22,334,3
21,335,4
21,336,5
17,337,4
14,338,2
21,339,2
14,340,1
21,341,3
22,342,2
22,343,3
22,344,3
22,345,3
22,346,1
21,347,4
19,348,5
21,349,1
13,350,2
13,351,4
15,352,5
22,353,3
21,354,1
20,355,5
19,356,4
19,357,1
13,358,3
15,359,3
15,360,5
22,361,2
21,362,3
20,363,3
19,364,4
13,365,2
14,366,1
16,367,2
17,368,1
14,369,4
17,370,5
13,371,4
15,372,3
13,373,4
15,374,5
16,375,3
13,376,5
18,377,2
14,378,4
14,379,2
15,380,5
22,381,1
15,382,1
20,383,1
22,384,4
15,385,1
18,386,4
19,387,5
13,388,4
15,389,2
15,390,2
17,391,5
16,392,5
15,393,4
17,394,2
17,395,1
22,396,1
17,397,4
14,398,5
17,399,2
22,400,2
13,57,5
13,51,4
13,94,5
13,50,1
13,54,4
13,200,4
13,13,1
13,16,2
13,175,2
13,11,5
13,47,2
13,67,3
13,40,5
13,70,4
13,4,2
13,157,2
14,154,4
14,87,4
14,35,4
14,183,4
14,73,2
14,79,2
14,68,4
14,177,4
14,84,5
14,55,1
14,56,3
15,121,1
15,192,1
15,169,5
15,78,2
15,56,2
15,64,3
15,103,5
15,180,1
15,28,2
15,162,1
16,187,2
16,108,4
16,68,1
16,129,4
16,123,2
16,89,4
16,167,2
16,185,1
16,188,3
16,79,5
16,83,1
16,84,1
16,59,1
16,75,2
17,93,2
17,20,3
17,129,3
17,128,5
17,75,2
17,42,5
17,150,2
17,23,1
17,100,3
17,172,4
17,127,2
17,198,3
17,142,3
17,170,1
17,136,3
17,46,4
17,144,1
18,119,2
18,191,1
18,104,3
18,20,5
18,51,3
18,108,2
18,65,3
18,40,4
18,72,4
18,80,2
18,35,4
18,93,1
18,140,1
18,197,2
19,133,4
19,156,5
19,14,4
19,63,4
19,100,4
19,137,5
19,141,4
19,32,1
19,53,4
19,92,5
19,127,5
19,60,1
19,124,5
19,111,2
19,190,2
19,187,5
19,50,3
19,157,5
20,28,5
20,67,1
20,125,5
20,140,5
20,159,2
20,53,2
20,96,5
20,170,2
20,29,5
20,10,1
20,80,5
20,93,1
20,7,5
20,122,4
20,137,2
20,177,4
20,158,3
21,82,2
21,156,5
21,151,2
21,91,2
21,85,5
21,192,4
21,150,5
21,135,4
21,175,4
21,38,1
22,68,3
22,81,5
22,109,3
22,59,4
22,20,5
22,143,2
22,3,2
22,7,3
22,198,5
22,120,2
22,101,2
22,27,3
22,199,4
22,9,4
